feature,label_horizon,metric,value,samples
EMA20,future_return_4,pearson,-0.131832,2805
EMA20,future_return_4,spearman,0.013922,2805
EMA20,future_return_4,q_top_pf,0.534576,280
EMA20,future_return_4,q_top_wr,0.428571,280
EMA20,future_return_4,q_bottom_pf,2.514132,281
EMA20,future_return_4,q_bottom_wr,0.565836,281
EMA20,future_return_4,rolling_mean_50,-0.262143,0
EMA20,future_return_4,rolling_std_50,0.237683,0
EMA20,future_return_4,rolling_stability_50,0.889483,0
EMA20,future_return_4,rolling_mean_100,-0.227780,0
EMA20,future_return_4,rolling_std_100,0.199067,0
EMA20,future_return_4,rolling_stability_100,0.909804,0
EMA20,future_return_4,rolling_mean_200,-0.192215,0
EMA20,future_return_4,rolling_std_200,0.159004,0
EMA20,future_return_4,rolling_stability_200,0.931194,0
EMA20,future_return_4,regime_trending_low_vol,-0.168992,574
EMA20,future_return_4,regime_trending_high_vol,-0.086267,268
EMA20,future_return_4,regime_ranging_high_vol,-0.126681,574
EMA20,future_return_4,regime_ranging_low_vol,-0.068071,1389
EMA20,future_return_12,pearson,-0.217914,2805
EMA20,future_return_12,spearman,-0.085641,2805
EMA20,future_return_12,q_top_pf,0.328164,280
EMA20,future_return_12,q_top_wr,0.407143,280
EMA20,future_return_12,q_bottom_pf,4.096829,281
EMA20,future_return_12,q_bottom_wr,0.569395,281
EMA20,future_return_12,rolling_mean_50,-0.368338,0
EMA20,future_return_12,rolling_std_50,0.285103,0
EMA20,future_return_12,rolling_stability_50,0.900178,0
EMA20,future_return_12,rolling_mean_100,-0.347413,0
EMA20,future_return_12,rolling_std_100,0.250108,0
EMA20,future_return_12,rolling_stability_100,0.919073,0
EMA20,future_return_12,rolling_mean_200,-0.306733,0
EMA20,future_return_12,rolling_std_200,0.201532,0
EMA20,future_return_12,rolling_stability_200,0.944029,0
EMA20,future_return_12,regime_trending_low_vol,-0.285466,574
EMA20,future_return_12,regime_trending_high_vol,-0.117678,268
EMA20,future_return_12,regime_ranging_high_vol,-0.215922,574
EMA20,future_return_12,regime_ranging_low_vol,-0.030254,1389
EMA20,future_return_24,pearson,-0.288993,2805
EMA20,future_return_24,spearman,-0.211063,2805
EMA20,future_return_24,q_top_pf,0.174716,280
EMA20,future_return_24,q_top_wr,0.332143,280
EMA20,future_return_24,q_bottom_pf,7.295818,281
EMA20,future_return_24,q_bottom_wr,0.743772,281
EMA20,future_return_24,rolling_mean_50,-0.420420,0
