feature,label_horizon,metric,value,samples
EMA20,future_return_4,pearson,0.070197,2680
EMA20,future_return_4,spearman,0.036915,2680
EMA20,future_return_4,q_top_pf,0.714855,268
EMA20,future_return_4,q_top_wr,0.429104,268
EMA20,future_return_4,q_bottom_pf,0.673097,268
EMA20,future_return_4,q_bottom_wr,0.388060,268
EMA20,future_return_4,rolling_mean_50,-0.330679,0
EMA20,future_return_4,rolling_std_50,0.242532,0
EMA20,future_return_4,rolling_stability_50,0.897761,0
EMA20,future_return_4,rolling_mean_100,-0.263868,0
EMA20,future_return_4,rolling_std_100,0.190902,0
EMA20,future_return_4,rolling_stability_100,0.933209,0
EMA20,future_return_4,rolling_mean_200,-0.179300,0
EMA20,future_return_4,rolling_std_200,0.145495,0
EMA20,future_return_4,rolling_stability_200,0.902985,0
EMA20,future_return_4,regime_trending_low_vol,-0.012509,480
EMA20,future_return_4,regime_trending_high_vol,0.122921,324
EMA20,future_return_4,regime_ranging_high_vol,0.054298,480
EMA20,future_return_4,regime_ranging_low_vol,0.012475,1396
EMA20,future_return_12,pearson,0.144360,2680
EMA20,future_return_12,spearman,0.073352,2680
EMA20,future_return_12,q_top_pf,0.514714,268
EMA20,future_return_12,q_top_wr,0.380597,268
EMA20,future_return_12,q_bottom_pf,0.441013,268
EMA20,future_return_12,q_bottom_wr,0.347015,268
EMA20,future_return_12,rolling_mean_50,-0.395220,0
EMA20,future_return_12,rolling_std_50,0.352075,0
EMA20,future_return_12,rolling_stability_50,0.861194,0
EMA20,future_return_12,rolling_mean_100,-0.366290,0
EMA20,future_return_12,rolling_std_100,0.270792,0
EMA20,future_return_12,rolling_stability_100,0.911567,0
EMA20,future_return_12,rolling_mean_200,-0.258692,0
EMA20,future_return_12,rolling_std_200,0.210462,0
EMA20,future_return_12,rolling_stability_200,0.886194,0
EMA20,future_return_12,regime_trending_low_vol,-0.055864,480
EMA20,future_return_12,regime_trending_high_vol,0.237018,324
EMA20,future_return_12,regime_ranging_high_vol,0.132573,480
EMA20,future_return_12,regime_ranging_low_vol,0.030043,1396
EMA20,future_return_24,pearson,0.204723,2680
EMA20,future_return_24,spearman,0.101877,2680
EMA20,future_return_24,q_top_pf,0.328200,268
EMA20,future_return_24,q_top_wr,0.309701,268
EMA20,future_return_24,q_bottom_pf,0.271994,268
EMA20,future_return_24,q_bottom_wr,0.287313,268
EMA20,future_return_24,rolling_mean_50,-0.382100,0
EMA20,future_return_24,rolling_std_50,0.427980,0
EMA20,future_return_24,rolling_stability_50,0.835075,0
EMA20,future_return_24,rolling_mean_100,-0.410012,0
EMA20,future_return_24,rolling_std_100,0.335583,0
EMA20,future_return_24,rolling_stability_100,0.901866,0
EMA20,future_return_24,rolling_mean_200,-0.324349,0
EMA20,future_return_24,rolling_std_200,0.278884,0
EMA20,future_return_24,rolling_stability_200,0.883209,0
EMA20,future_return_24,regime_trending_low_vol,-0.011056,480
EMA20,future_return_24,regime_trending_high_vol,0.361771,324
EMA20,future_return_24,regime_ranging_high_vol,0.100562,480
EMA20,future_return_24,regime_ranging_low_vol,0.059685,1396
EMA20,,decay_peak,0.153300,0
EMA20,,decay_avg,0.105237,0
EMA20,,decay_rate,-0.049872,0
EMA20,,decay_persistence,0.053556,0
EMA50,future_return_4,pearson,0.072216,2680
EMA50,future_return_4,spearman,0.042522,2680
EMA50,future_return_4,q_top_pf,0.657293,268
EMA50,future_return_4,q_top_wr,0.421642,268
EMA50,future_return_4,q_bottom_pf,0.673097,268
EMA50,future_return_4,q_bottom_wr,0.388060,268
EMA50,future_return_4,rolling_mean_50,-0.247730,0
EMA50,future_return_4,rolling_std_50,0.249447,0
EMA50,future_return_4,rolling_stability_50,0.843657,0
EMA50,future_return_4,rolling_mean_100,-0.217459,0
EMA50,future_return_4,rolling_std_100,0.188487,0
EMA50,future_return_4,rolling_stability_100,0.893284,0
EMA50,future_return_4,rolling_mean_200,-0.146821,0
EMA50,future_return_4,rolling_std_200,0.136780,0
EMA50,future_return_4,rolling_stability_200,0.865299,0
EMA50,future_return_4,regime_trending_low_vol,-0.017016,480
EMA50,future_return_4,regime_trending_high_vol,0.132892,324
EMA50,future_return_4,regime_ranging_high_vol,0.059850,480
EMA50,future_return_4,regime_ranging_low_vol,0.011621,1396
EMA50,future_return_12,pearson,0.145697,2680
EMA50,future_return_12,spearman,0.080601,2680
EMA50,future_return_12,q_top_pf,0.455983,268
EMA50,future_return_12,q_top_wr,0.354478,268
EMA50,future_return_12,q_bottom_pf,0.441013,268
EMA50,future_return_12,q_bottom_wr,0.347015,268
EMA50,future_return_12,rolling_mean_50,-0.274204,0
EMA50,future_return_12,rolling_std_50,0.374670,0
EMA50,future_return_12,rolling_stability_50,0.773134,0
EMA50,future_return_12,rolling_mean_100,-0.294750,0
EMA50,future_return_12,rolling_std_100,0.280998,0
EMA50,future_return_12,rolling_stability_100,0.866418,0
EMA50,future_return_12,rolling_mean_200,-0.215053,0
EMA50,future_return_12,rolling_std_200,0.215637,0
EMA50,future_return_12,rolling_stability_200,0.842910,0
EMA50,future_return_12,regime_trending_low_vol,-0.055837,480
EMA50,future_return_12,regime_trending_high_vol,0.249740,324
EMA50,future_return_12,regime_ranging_high_vol,0.139419,480
EMA50,future_return_12,regime_ranging_low_vol,0.027260,1396
EMA50,future_return_24,pearson,0.203968,2680
EMA50,future_return_24,spearman,0.106532,2680
EMA50,future_return_24,q_top_pf,0.305098,268
EMA50,future_return_24,q_top_wr,0.320896,268
EMA50,future_return_24,q_bottom_pf,0.271994,268
EMA50,future_return_24,q_bottom_wr,0.287313,268
EMA50,future_return_24,rolling_mean_50,-0.251644,0
EMA50,future_return_24,rolling_std_50,0.483749,0
EMA50,future_return_24,rolling_stability_50,0.717910,0
EMA50,future_return_24,rolling_mean_100,-0.322582,0
EMA50,future_return_24,rolling_std_100,0.372029,0
EMA50,future_return_24,rolling_stability_100,0.847015,0
EMA50,future_return_24,rolling_mean_200,-0.278437,0
EMA50,future_return_24,rolling_std_200,0.297654,0
EMA50,future_return_24,rolling_stability_200,0.828731,0
EMA50,future_return_24,regime_trending_low_vol,-0.022641,480
EMA50,future_return_24,regime_trending_high_vol,0.372280,324
EMA50,future_return_24,regime_ranging_high_vol,0.108925,480
EMA50,future_return_24,regime_ranging_low_vol,0.056642,1396
EMA50,,decay_peak,0.155250,0
EMA50,,decay_avg,0.108589,0
EMA50,,decay_rate,-0.048940,0
EMA50,,decay_persistence,0.057369,0
EMA200,future_return_4,pearson,0.074512,2680
EMA200,future_return_4,spearman,0.054405,2680
EMA200,future_return_4,q_top_pf,0.681880,268
EMA200,future_return_4,q_top_wr,0.432836,268
EMA200,future_return_4,q_bottom_pf,0.673097,268
EMA200,future_return_4,q_bottom_wr,0.388060,268
EMA200,future_return_4,rolling_mean_50,-0.140303,0
EMA200,future_return_4,rolling_std_50,0.256742,0
EMA200,future_return_4,rolling_stability_50,0.716418,0
EMA200,future_return_4,rolling_mean_100,-0.140752,0
EMA200,future_return_4,rolling_std_100,0.183684,0
EMA200,future_return_4,rolling_stability_100,0.800000,0
EMA200,future_return_4,rolling_mean_200,-0.123258,0
EMA200,future_return_4,rolling_std_200,0.140430,0
EMA200,future_return_4,rolling_stability_200,0.845522,0
EMA200,future_return_4,regime_trending_low_vol,-0.002136,480
EMA200,future_return_4,regime_trending_high_vol,0.145963,324
EMA200,future_return_4,regime_ranging_high_vol,0.068456,480
EMA200,future_return_4,regime_ranging_low_vol,0.007549,1396
EMA200,future_return_12,pearson,0.149214,2680
EMA200,future_return_12,spearman,0.097436,2680
EMA200,future_return_12,q_top_pf,0.593854,268
EMA200,future_return_12,q_top_wr,0.421642,268
EMA200,future_return_12,q_bottom_pf,0.441013,268
EMA200,future_return_12,q_bottom_wr,0.347015,268
EMA200,future_return_12,rolling_mean_50,-0.165789,0
EMA200,future_return_12,rolling_std_50,0.400452,0
EMA200,future_return_12,rolling_stability_50,0.675746,0
EMA200,future_return_12,rolling_mean_100,-0.206341,0
EMA200,future_return_12,rolling_std_100,0.288936,0
EMA200,future_return_12,rolling_stability_100,0.772388,0
EMA200,future_return_12,rolling_mean_200,-0.192863,0
EMA200,future_return_12,rolling_std_200,0.217460,0
EMA200,future_return_12,rolling_stability_200,0.842910,0
EMA200,future_return_12,regime_trending_low_vol,-0.021017,480
EMA200,future_return_12,regime_trending_high_vol,0.267692,324
EMA200,future_return_12,regime_ranging_high_vol,0.154500,480
EMA200,future_return_12,regime_ranging_low_vol,0.025059,1396
EMA200,future_return_24,pearson,0.207940,2680
EMA200,future_return_24,spearman,0.126856,2680
EMA200,future_return_24,q_top_pf,0.474307,268
EMA200,future_return_24,q_top_wr,0.429104,268
EMA200,future_return_24,q_bottom_pf,0.271994,268
EMA200,future_return_24,q_bottom_wr,0.287313,268
EMA200,future_return_24,rolling_mean_50,-0.156266,0
EMA200,future_return_24,rolling_std_50,0.513816,0
EMA200,future_return_24,rolling_stability_50,0.650000,0
EMA200,future_return_24,rolling_mean_100,-0.228399,0
EMA200,future_return_24,rolling_std_100,0.391122,0
EMA200,future_return_24,rolling_stability_100,0.721269,0
EMA200,future_return_24,rolling_mean_200,-0.245347,0
EMA200,future_return_24,rolling_std_200,0.290996,0
EMA200,future_return_24,rolling_stability_200,0.811194,0
EMA200,future_return_24,regime_trending_low_vol,0.006929,480
EMA200,future_return_24,regime_trending_high_vol,0.392781,324
EMA200,future_return_24,regime_ranging_high_vol,0.121953,480
EMA200,future_return_24,regime_ranging_low_vol,0.064993,1396
EMA200,,decay_peak,0.167398,0
EMA200,,decay_avg,0.118394,0
EMA200,,decay_rate,-0.051470,0
EMA200,,decay_persistence,0.064459,0
RSI14,future_return_4,pearson,-0.019956,2680
RSI14,future_return_4,spearman,-0.042051,2680
RSI14,future_return_4,q_top_pf,0.728402,268
RSI14,future_return_4,q_top_wr,0.406716,268
RSI14,future_return_4,q_bottom_pf,0.765531,268
RSI14,future_return_4,q_bottom_wr,0.473881,268
RSI14,future_return_4,rolling_mean_50,-0.251961,0
RSI14,future_return_4,rolling_std_50,0.213808,0
RSI14,future_return_4,rolling_stability_50,0.872015,0
RSI14,future_return_4,rolling_mean_100,-0.159499,0
RSI14,future_return_4,rolling_std_100,0.192168,0
RSI14,future_return_4,rolling_stability_100,0.791045,0
RSI14,future_return_4,rolling_mean_200,-0.122078,0
RSI14,future_return_4,rolling_std_200,0.184561,0
RSI14,future_return_4,rolling_stability_200,0.764925,0
RSI14,future_return_4,regime_trending_low_vol,0.104224,480
RSI14,future_return_4,regime_trending_high_vol,-0.008365,324
RSI14,future_return_4,regime_ranging_high_vol,-0.143936,480
RSI14,future_return_4,regime_ranging_low_vol,-0.085235,1396
RSI14,future_return_12,pearson,-0.021251,2680
RSI14,future_return_12,spearman,-0.048384,2680
RSI14,future_return_12,q_top_pf,0.534827,268
RSI14,future_return_12,q_top_wr,0.376866,268
RSI14,future_return_12,q_bottom_pf,0.746181,268
RSI14,future_return_12,q_bottom_wr,0.477612,268
RSI14,future_return_12,rolling_mean_50,-0.413272,0
RSI14,future_return_12,rolling_std_50,0.266785,0
RSI14,future_return_12,rolling_stability_50,0.917164,0
RSI14,future_return_12,rolling_mean_100,-0.272878,0
RSI14,future_return_12,rolling_std_100,0.249985,0
RSI14,future_return_12,rolling_stability_100,0.851119,0
RSI14,future_return_12,rolling_mean_200,-0.199824,0
RSI14,future_return_12,rolling_std_200,0.227836,0
RSI14,future_return_12,rolling_stability_200,0.802985,0
RSI14,future_return_12,regime_trending_low_vol,0.074595,480
RSI14,future_return_12,regime_trending_high_vol,-0.076805,324
RSI14,future_return_12,regime_ranging_high_vol,-0.130278,480
RSI14,future_return_12,regime_ranging_low_vol,-0.097660,1396
RSI14,future_return_24,pearson,0.041750,2680
RSI14,future_return_24,spearman,0.010466,2680
RSI14,future_return_24,q_top_pf,0.616967,268
RSI14,future_return_24,q_top_wr,0.388060,268
RSI14,future_return_24,q_bottom_pf,0.468454,268
RSI14,future_return_24,q_bottom_wr,0.432836,268
RSI14,future_return_24,rolling_mean_50,-0.457164,0
RSI14,future_return_24,rolling_std_50,0.316914,0
RSI14,future_return_24,rolling_stability_50,0.900000,0
RSI14,future_return_24,rolling_mean_100,-0.316723,0
RSI14,future_return_24,rolling_std_100,0.302972,0
RSI14,future_return_24,rolling_stability_100,0.827985,0
RSI14,future_return_24,rolling_mean_200,-0.212576,0
RSI14,future_return_24,rolling_std_200,0.271236,0
RSI14,future_return_24,rolling_stability_200,0.792537,0
